HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458381.01804,2018-09-19.5126393,bb,1.73,16.325,14.484,0.040,6.168,0.227,V
2458385.80543,2018-09-24.2998896,br,1.53,15.861,14.805,0.083,4.347,0.329,g
2458385.80664,2018-09-24.3011070,br,1.46,15.777,14.929,0.100,3.878,0.355,g
2458385.80787,2018-09-24.3023326,br,1.55,15.844,14.985,0.099,3.681,0.334,g
2458390.55986,2018-09-29.0542210,bn,1.67,16.255,14.873,0.061,4.079,0.229,g
2458390.56107,2018-09-29.0554295,bn,1.61,16.232,15.144,0.080,3.181,0.234,g
2458390.56228,2018-09-29.0566318,bn,1.59,16.279,14.902,0.062,3.974,0.224,g
2458390.96264,2018-09-29.4569877,bb,2.12,15.950,14.593,0.063,5.580,0.320,V
2458390.96391,2018-09-29.4582628,bb,2.11,15.957,14.436,0.054,6.450,0.318,V
2458390.96519,2018-09-29.4595363,bb,2.08,15.839,14.557,0.067,5.766,0.354,V
2458391.91101,2018-09-30.4053431,bb,1.70,16.083,14.578,0.055,5.660,0.283,V
2458391.91227,2018-09-30.4066106,bb,1.70,16.129,14.553,0.051,5.790,0.271,V
2458391.91355,2018-09-30.4078850,bb,1.68,16.134,14.475,0.047,6.223,0.270,V
2458392.74325,2018-10-01.2375795,bF,1.51,16.501,14.873,0.049,4.081,0.183,g
2458392.74452,2018-10-01.2388478,bF,1.48,16.266,14.991,0.068,3.661,0.227,g
2458392.74579,2018-10-01.2401101,bF,1.45,15.985,15.095,0.096,3.328,0.293,g
2458393.94129,2018-10-02.4355986,bb,2.16,16.260,14.476,0.042,6.213,0.241,V
2458393.94256,2018-10-02.4368697,bb,2.18,16.301,14.412,0.038,6.597,0.232,V
2458393.94383,2018-10-02.4381444,bb,2.19,16.403,14.545,0.040,5.831,0.211,V
2458394.75876,2018-10-03.2530596,bF,1.46,16.883,14.916,0.036,3.923,0.128,g
2458394.76009,2018-10-03.2543892,bF,1.47,16.895,14.930,0.036,3.873,0.127,g
2458394.76135,2018-10-03.2556555,bF,1.45,16.839,14.988,0.040,3.672,0.134,g
2458396.42059,2018-10-04.9148795,bn,1.47,99.990,99.990,99.990,99.990,99.990,g
2458396.42178,2018-10-04.9160793,bn,1.45,16.910,14.907,0.035,3.955,0.125,g
2458396.42299,2018-10-04.9172865,bn,1.50,99.990,99.990,99.990,99.990,99.990,g
2458396.61143,2018-10-05.1057181,bj,1.61,16.780,14.957,0.041,3.778,0.141,g
2458396.61266,2018-10-05.1069400,bj,1.61,16.748,14.973,0.043,3.720,0.145,g
2458396.61387,2018-10-05.1081560,bj,1.59,16.736,14.945,0.042,3.820,0.147,g
2458396.88005,2018-10-05.3743332,br,1.47,99.990,99.990,99.990,99.990,99.990,g
2458396.88126,2018-10-05.3755505,br,1.47,99.990,99.990,99.990,99.990,99.990,g
2458397.58723,2018-10-06.0815105,bF,1.55,16.893,14.888,0.034,4.027,0.127,g
2458397.58850,2018-10-06.0827840,bF,1.52,16.905,14.945,0.036,3.823,0.126,g
2458397.58978,2018-10-06.0840603,bF,1.48,16.933,14.863,0.032,4.119,0.123,g
2458398.59408,2018-10-07.0883555,bj,1.54,16.671,14.879,0.042,4.060,0.156,g
2458398.59530,2018-10-07.0895740,bj,1.51,16.789,14.883,0.038,4.044,0.140,g
2458398.59651,2018-10-07.0907902,bj,1.51,16.777,14.993,0.042,3.654,0.141,g
2458399.54867,2018-10-08.0429357,bn,2.15,16.851,14.947,0.038,3.812,0.133,g
2458399.54988,2018-10-08.0441519,bn,2.16,16.717,14.907,0.041,3.955,0.150,g
2458400.52992,2018-10-09.0241896,bn,1.76,16.839,14.928,0.038,3.879,0.134,g
2458400.53113,2018-10-09.0253952,bn,1.74,16.797,14.987,0.041,3.676,0.139,g
2458400.53234,2018-10-09.0266069,bn,1.78,16.720,14.891,0.041,4.018,0.149,g
2458401.84540,2018-10-10.3396672,bj,1.69,99.990,99.990,99.990,99.990,99.990,g
2458401.84783,2018-10-10.3421061,bj,1.49,99.990,99.990,99.990,99.990,99.990,g
2458402.55389,2018-10-11.0481651,bn,1.54,16.822,15.003,0.041,3.623,0.136,g
2458402.55510,2018-10-11.0493758,bn,1.59,16.762,14.937,0.041,3.847,0.144,g
2458402.55631,2018-10-11.0505932,bn,1.60,16.825,14.995,0.040,3.647,0.135,g
2458403.69074,2018-10-12.1850127,bj,1.61,16.350,14.978,0.062,3.708,0.210,g
2458403.69195,2018-10-12.1862312,bj,1.57,16.500,14.931,0.052,3.872,0.183,g
2458403.69317,2018-10-12.1874496,bj,1.64,16.569,14.847,0.045,4.179,0.171,g
2458404.55579,2018-10-13.0500725,bj,1.56,16.575,14.971,0.050,3.731,0.170,g
2458404.55701,2018-10-13.0512944,bj,1.59,16.543,14.855,0.046,4.148,0.176,g
2458404.55822,2018-10-13.0525105,bj,1.67,16.583,14.802,0.042,4.355,0.169,g
2458406.04349,2018-10-14.5377848,bb,2.10,16.252,14.545,0.045,5.834,0.243,V
2458406.04476,2018-10-14.5390581,bb,2.09,16.328,14.535,0.042,5.887,0.226,V
2458406.04602,2018-10-14.5403224,bb,2.10,16.370,14.530,0.040,5.913,0.218,V
2458406.96122,2018-10-15.4555314,bb,2.14,16.544,14.466,0.032,6.278,0.186,V
2458406.96249,2018-10-15.4568015,bb,2.17,16.469,14.599,0.039,5.547,0.199,V
2458406.96377,2018-10-15.4580754,bb,2.18,16.395,14.496,0.038,6.101,0.213,V
2458407.57223,2018-10-16.0665501,bj,1.61,16.476,14.900,0.051,3.981,0.187,g
2458407.57346,2018-10-16.0677718,bj,1.57,16.474,14.942,0.053,3.832,0.187,g
2458407.57468,2018-10-16.0689947,bj,1.54,99.990,99.990,99.990,99.990,99.990,g
2458407.75111,2018-10-16.2454225,bj,1.58,16.759,14.974,0.042,3.720,0.144,g
2458407.75232,2018-10-16.2466387,bj,1.58,16.747,14.944,0.042,3.822,0.146,g
2458407.75354,2018-10-16.2478552,bj,1.57,16.797,14.930,0.039,3.875,0.139,g
2458408.60369,2018-10-17.0980104,bj,1.57,16.499,14.842,0.048,4.202,0.183,g
2458408.60490,2018-10-17.0992310,bj,1.63,16.480,14.889,0.051,4.022,0.186,g
2458408.78513,2018-10-17.2794577,bF,2.03,16.923,14.849,0.032,4.176,0.124,g
2458408.78639,2018-10-17.2807226,bF,2.09,16.924,14.869,0.033,4.097,0.124,g
2458408.78767,2018-10-17.2820028,bF,2.04,16.910,14.893,0.034,4.007,0.126,g
2458409.54670,2018-10-18.0410339,bn,1.45,16.899,14.940,0.036,3.837,0.127,g
2458409.54790,2018-10-18.0422359,bn,1.48,16.955,14.874,0.032,4.075,0.120,g
2458409.54911,2018-10-18.0434443,bn,1.47,16.831,14.832,0.035,4.239,0.135,g
2458409.57691,2018-10-18.0712458,bj,1.53,16.324,15.018,0.066,3.572,0.215,g
2458409.57814,2018-10-18.0724747,bj,1.57,16.276,14.880,0.061,4.053,0.224,g
2458409.57937,2018-10-18.0737038,bj,1.52,16.371,14.810,0.052,4.325,0.206,g
2458409.81581,2018-10-18.3101554,bb,1.66,16.196,14.531,0.047,5.912,0.256,V
2458409.81706,2018-10-18.3114023,bb,1.66,16.006,14.641,0.062,5.336,0.304,V
2458409.81833,2018-10-18.3126684,bb,1.63,15.784,14.401,0.061,6.663,0.374,V
2458409.99415,2018-10-18.4884964,bb,2.04,16.231,14.481,0.044,6.186,0.247,V
2458409.99542,2018-10-18.4897695,bb,2.03,16.033,14.492,0.053,6.128,0.297,V
2458409.99670,2018-10-18.4910459,bb,2.01,15.978,14.453,0.054,6.345,0.312,V
2458410.56201,2018-10-19.0563649,bF,1.64,16.589,14.812,0.043,4.320,0.168,g
2458410.56328,2018-10-19.0576319,bF,1.58,16.534,14.931,0.050,3.868,0.177,g
2458410.56462,2018-10-19.0589771,bF,1.60,16.400,14.854,0.053,4.151,0.200,g
2458411.54484,2018-10-20.0392203,bj,1.55,16.000,14.825,0.074,4.266,0.289,g
2458411.54606,2018-10-20.0404388,bj,1.53,16.114,14.888,0.071,4.027,0.260,g
2458411.54729,2018-10-20.0416594,bj,1.59,16.153,14.705,0.058,4.763,0.251,g
2458411.73088,2018-10-20.2252570,bj,1.59,16.205,14.883,0.065,4.041,0.240,g
2458411.73211,2018-10-20.2264806,bj,1.58,16.233,14.962,0.068,3.761,0.233,g
2458411.73333,2018-10-20.2276993,bj,1.61,16.210,15.027,0.074,3.542,0.238,g
2458412.47401,2018-10-20.9684092,bn,2.23,15.887,14.954,0.093,3.786,0.321,g
2458412.47523,2018-10-20.9696313,bn,2.20,15.634,14.724,0.095,4.684,0.405,g
2458412.47645,2018-10-20.9708443,bn,2.18,15.746,15.018,0.112,3.573,0.365,g
2458412.65335,2018-10-21.1477391,bj,1.57,15.923,14.776,0.076,4.461,0.311,g
2458412.65457,2018-10-21.1489621,bj,1.60,15.966,14.871,0.080,4.087,0.299,g
2458412.65578,2018-10-21.1501800,bj,1.55,16.062,15.023,0.084,3.554,0.273,g
2458417.94788,2018-10-26.4424009,bb,1.64,15.596,14.390,0.072,6.729,0.444,V
2458417.94916,2018-10-26.4436870,bb,1.63,15.770,14.648,0.078,5.307,0.378,V
2458417.95044,2018-10-26.4449682,bb,1.78,15.603,14.392,0.072,6.714,0.441,V
2458418.70148,2018-10-27.1960238,bj,1.55,16.011,14.907,0.079,3.958,0.286,g
2458418.70269,2018-10-27.1972365,bj,1.58,16.100,15.133,0.090,3.213,0.264,g
2458418.70390,2018-10-27.1984547,bj,1.54,15.883,14.802,0.081,4.356,0.322,g
2458419.51066,2018-10-28.0052325,bn,1.63,15.710,14.752,0.091,4.562,0.378,g
2458419.51188,2018-10-28.0064489,bn,1.62,15.691,14.808,0.097,4.331,0.385,g
2458419.51308,2018-10-28.0076520,bn,1.72,15.814,14.860,0.091,4.130,0.343,g
2458420.53421,2018-10-29.0288197,bn,2.08,14.669,99.990,99.990,3.436,0.987,g
2458420.53542,2018-10-29.0300325,bn,2.14,99.990,99.990,99.990,99.990,99.990,g
2458423.50580,2018-11-01.0005180,bn,1.59,16.690,14.860,0.041,4.131,0.154,g
2458423.50702,2018-11-01.0017357,bn,1.53,16.793,14.906,0.038,3.961,0.140,g
2458423.50822,2018-11-01.0029417,bn,1.56,16.737,14.869,0.039,4.096,0.147,g
2458423.96504,2018-11-01.4597800,bb,1.67,16.376,14.458,0.037,6.322,0.217,V
2458423.96632,2018-11-01.4610547,bb,1.69,16.325,14.548,0.043,5.814,0.227,V
2458423.96758,2018-11-01.4623170,bb,1.65,16.277,14.382,0.038,6.778,0.237,V
2458424.51115,2018-11-02.0059111,bj,1.71,16.425,14.956,0.057,3.784,0.196,g
2458424.51238,2018-11-02.0071307,bj,1.73,16.548,14.881,0.047,4.052,0.175,g
2458424.51359,2018-11-02.0083562,bj,1.73,16.587,14.897,0.046,3.994,0.169,g
2458424.77588,2018-11-02.2706443,br,1.65,16.900,15.038,0.039,3.506,0.126,g
2458424.77710,2018-11-02.2718651,br,1.64,16.877,14.845,0.034,4.190,0.129,g
2458424.77833,2018-11-02.2730940,br,1.64,16.946,14.945,0.035,3.819,0.121,g
2458425.50427,2018-11-02.9990630,bF,1.56,15.822,15.022,0.105,3.561,0.341,g
2458425.50553,2018-11-03.0003326,bF,1.46,15.885,14.755,0.077,4.549,0.322,g
2458425.50680,2018-11-03.0015953,bF,1.45,16.156,14.936,0.071,3.850,0.251,g
2458426.50880,2018-11-04.0036333,bF,1.47,16.383,14.779,0.050,4.453,0.204,g
2458426.51007,2018-11-04.0049092,bF,1.48,16.403,14.831,0.051,4.245,0.200,g
2458426.51135,2018-11-04.0061875,bF,1.47,16.525,14.934,0.051,3.860,0.178,g
2458427.95440,2018-11-05.4493054,bb,1.65,16.387,14.445,0.037,6.392,0.214,V
2458427.95567,2018-11-05.4505692,bb,1.61,16.401,14.456,0.036,6.331,0.212,V
2458427.95693,2018-11-05.4518344,bb,1.67,16.379,14.494,0.039,6.113,0.216,V
2458428.50611,2018-11-06.0010439,bF,1.56,15.936,14.994,0.092,3.650,0.307,g
2458428.50742,2018-11-06.0023574,bF,1.58,16.149,14.700,0.058,4.788,0.252,g
2458428.50873,2018-11-06.0036648,bF,1.56,16.107,14.905,0.072,3.961,0.262,g
2458428.77783,2018-11-06.272775,br,1.54,16.902,14.967,0.037,3.744,0.126,g
2458428.77905,2018-11-06.2739863,br,1.53,16.867,14.927,0.037,3.882,0.130,g
2458428.78027,2018-11-06.2752115,br,1.50,16.946,14.965,0.035,3.750,0.121,g
2458429.53008,2018-11-07.0250480,bF,1.51,16.923,14.971,0.036,3.730,0.124,g
2458429.53135,2018-11-07.0263287,bF,1.55,17.054,14.973,0.032,3.723,0.110,g
2458429.53264,2018-11-07.0276094,bF,1.57,16.986,14.965,0.034,3.751,0.117,g
2458430.70628,2018-11-08.2013149,br,1.43,99.990,99.990,99.990,99.990,99.990,g
2458430.70750,2018-11-08.2025354,br,1.39,99.990,99.990,99.990,99.990,99.990,g
2458430.70872,2018-11-08.2037490,br,1.37,99.990,99.990,99.990,99.990,99.990,g
2458431.55337,2018-11-09.0484383,br,1.76,16.663,14.945,0.045,3.822,0.157,g
2458431.55458,2018-11-09.0496543,br,1.85,16.708,14.972,0.044,3.726,0.151,g
2458431.55581,2018-11-09.0508829,br,1.74,16.672,14.915,0.043,3.924,0.156,g
2458431.84894,2018-11-09.3440258,bb,1.65,16.398,14.490,0.038,6.134,0.212,V
2458431.85020,2018-11-09.3452927,bb,1.68,16.393,14.498,0.038,6.091,0.213,V
2458431.85147,2018-11-09.3465590,bb,1.63,16.440,14.479,0.036,6.202,0.204,V
2458432.71031,2018-11-10.2054542,bj,1.70,16.847,14.891,0.036,4.017,0.133,g
2458432.71153,2018-11-10.2066674,bj,1.61,16.656,14.850,0.041,4.170,0.158,g
2458432.71275,2018-11-10.2078866,bj,1.69,16.764,14.889,0.039,4.021,0.143,g
2458433.52852,2018-11-11.0237,bF,1.59,16.942,14.936,0.034,3.852,0.122,g
2458433.52979,2018-11-11.0249690,bF,1.59,16.890,14.942,0.036,3.831,0.128,g
2458433.53106,2018-11-11.0262339,bF,1.56,16.946,14.925,0.034,3.891,0.121,g
2458433.92288,2018-11-11.4180733,bb,1.78,14.545,14.290,0.173,7.376,1.168,V
2458433.92415,2018-11-11.4193412,bb,1.67,14.563,14.416,0.191,6.568,1.148,V
2458433.92541,2018-11-11.4206050,bb,1.61,14.106,99.990,99.990,8.478,1.750,V
2458434.68565,2018-11-12.1808907,bF,1.51,17.033,14.950,0.032,3.803,0.112,g
2458434.68691,2018-11-12.1821564,bF,1.47,16.909,14.920,0.035,3.908,0.126,g
2458434.68817,2018-11-12.1834187,bF,1.52,16.975,14.925,0.033,3.888,0.118,g
2458436.69429,2018-11-14.1896465,bb,2.25,15.455,14.372,0.081,6.845,0.505,V
2458436.69556,2018-11-14.1909172,bb,2.19,15.582,14.464,0.078,6.286,0.449,V
2458436.86732,2018-11-14.3626877,bb,1.68,15.533,14.346,0.073,7.004,0.471,V
2458436.86860,2018-11-14.3639666,bb,1.80,15.742,14.324,0.059,7.151,0.388,V
2458436.86988,2018-11-14.3652440,bb,1.76,15.561,14.624,0.092,5.427,0.458,V
2458437.46888,2018-11-14.9642789,bn,1.55,16.891,14.907,0.035,3.958,0.128,g
2458437.47009,2018-11-14.9654909,bn,1.57,16.874,14.881,0.035,4.053,0.129,g
2458437.47130,2018-11-14.9667020,bn,1.55,16.898,14.917,0.035,3.918,0.127,g
2458437.70448,2018-11-15.1998857,bb,2.11,99.990,99.990,99.990,99.990,99.990,V
2458437.70700,2018-11-15.2024152,bb,2.02,99.990,99.990,99.990,99.990,99.990,V
2458438.46009,2018-11-15.9555559,bn,1.45,15.896,15.023,0.098,3.557,0.318,g
2458438.46130,2018-11-15.9567645,bn,1.47,16.283,14.914,0.062,3.929,0.223,g
2458438.46251,2018-11-15.9579813,bn,1.50,16.059,14.798,0.068,4.374,0.275,g
2458438.73297,2018-11-16.2284409,br,1.39,16.642,14.919,0.045,3.912,0.160,g
2458438.73418,2018-11-16.2296626,br,1.42,16.762,14.965,0.042,3.750,0.144,g
2458438.73540,2018-11-16.2308773,br,1.41,16.665,14.893,0.043,4.006,0.157,g
2458446.82170,2018-11-24.3177172,bb,2.02,15.669,14.491,0.074,6.133,0.415,V
2458447.60372,2018-11-25.0997918,bF,1.48,16.345,14.929,0.059,3.875,0.211,g
2458447.60498,2018-11-25.1010559,bF,1.46,16.332,14.818,0.054,4.295,0.213,g
2458447.60626,2018-11-25.1023300,bF,1.49,16.461,14.933,0.054,3.863,0.189,g
2458448.62259,2018-11-26.1187443,bj,1.56,16.330,14.827,0.055,4.257,0.214,g
2458448.62382,2018-11-26.1199671,bj,1.55,16.326,14.748,0.051,4.579,0.214,g
2458448.62504,2018-11-26.1211828,bj,1.63,16.467,14.904,0.052,3.965,0.188,g
2458448.80698,2018-11-26.3031372,br,1.52,99.990,99.990,99.990,99.990,99.990,g
2458448.80820,2018-11-26.3043694,br,1.46,99.990,99.990,99.990,99.990,99.990,g
2458448.80943,2018-11-26.3055925,br,1.68,99.990,99.990,99.990,99.990,99.990,g
2458449.85769,2018-11-27.3539248,bb,1.71,16.195,14.596,0.050,5.564,0.256,V
2458449.85896,2018-11-27.3551953,bb,1.63,16.074,14.493,0.051,6.120,0.286,V
2458450.72250,2018-11-28.2188038,bb,2.12,16.369,14.481,0.038,6.186,0.218,V
2458450.72378,2018-11-28.2200798,bb,2.13,16.286,14.494,0.042,6.115,0.235,V
2458450.72505,2018-11-28.2213520,bb,2.14,16.334,14.470,0.039,6.253,0.225,V
2458451.74188,2018-11-29.2382545,bb,1.67,16.409,14.509,0.038,6.027,0.210,V
2458451.74314,2018-11-29.2395208,bb,1.68,16.405,14.546,0.039,5.827,0.211,V
2458451.74441,2018-11-29.2407868,bb,1.68,16.399,14.477,0.037,6.213,0.212,V
2458453.75970,2018-12-01.2562387,br,1.51,16.875,14.940,0.037,3.835,0.129,g
2458454.40140,2018-12-01.8979848,bn,1.53,99.990,99.990,99.990,99.990,99.990,g
2458454.40261,2018-12-01.8992038,bn,1.46,99.990,99.990,99.990,99.990,99.990,g
2458454.40382,2018-12-01.9004065,bn,1.47,99.990,99.990,99.990,99.990,99.990,g
2458454.77095,2018-12-02.2675790,br,1.52,16.909,14.948,0.036,3.809,0.125,g
2458454.77217,2018-12-02.2687993,br,1.51,16.823,14.923,0.038,3.897,0.136,g
2458454.77340,2018-12-02.2700246,br,1.53,16.845,14.985,0.039,3.681,0.133,g
2458455.41932,2018-12-02.9159969,bn,1.51,16.969,14.876,0.032,4.068,0.119,g
2458455.42063,2018-12-02.9173031,bn,1.60,16.886,14.926,0.036,3.890,0.128,g
2458455.42195,2018-12-02.9186229,bn,1.57,16.834,14.884,0.036,4.040,0.134,g
2458455.81917,2018-12-03.3158833,bB,1.71,17.138,14.901,0.028,3.979,0.102,g
2458455.82044,2018-12-03.3171482,bB,1.75,17.205,14.953,0.027,3.793,0.096,g
2458455.82171,2018-12-03.3184128,bB,1.76,17.218,15.011,0.029,3.594,0.094,g
2458456.54337,2018-12-04.0401422,br,2.34,16.586,14.938,0.048,3.844,0.169,g
2458456.54461,2018-12-04.0413777,br,2.34,16.680,14.960,0.045,3.769,0.155,g
2458456.54582,2018-12-04.0425981,br,2.32,16.705,14.915,0.042,3.927,0.151,g
2458457.43161,2018-12-04.9284549,bn,1.62,16.798,14.946,0.040,3.818,0.139,g
2458457.43282,2018-12-04.9296719,bn,1.59,16.871,14.934,0.037,3.860,0.130,g
2458457.86141,2018-12-05.3582785,bB,1.79,17.058,14.870,0.029,4.092,0.109,g
2458457.86268,2018-12-05.3595498,bB,1.74,17.069,14.937,0.031,3.850,0.108,g
2458457.86395,2018-12-05.3608326,bB,1.73,17.114,14.937,0.029,3.849,0.104,g
2458458.37007,2018-12-05.8669937,bn,1.48,16.280,15.003,0.067,3.621,0.224,g
2458458.37128,2018-12-05.8682009,bn,1.49,15.511,14.738,0.108,4.623,0.457,g
2458458.37250,2018-12-05.8694131,bn,1.73,99.990,99.990,99.990,99.990,99.990,g
2458461.40146,2018-12-08.8986314,bn,1.45,16.826,14.861,0.036,4.126,0.135,g
2458461.40266,2018-12-08.8998429,bn,1.48,16.843,14.942,0.038,3.832,0.133,g
2458461.40387,2018-12-08.9010487,bn,1.48,16.896,14.961,0.037,3.765,0.127,g
2458462.66950,2018-12-10.1667914,bF,1.60,16.847,14.894,0.036,4.001,0.133,g
2458462.67077,2018-12-10.1680524,bF,1.55,16.875,14.896,0.035,3.997,0.130,g
2458462.67204,2018-12-10.1693280,bF,1.66,16.807,14.868,0.037,4.098,0.138,g
2458463.65090,2018-12-11.1482744,bF,1.52,16.894,14.911,0.035,3.940,0.127,g
2458463.65215,2018-12-11.1495366,bF,1.48,16.888,14.886,0.035,4.033,0.128,g
2458463.65343,2018-12-11.1508013,bF,1.53,16.852,14.922,0.037,3.901,0.132,g
2458464.39920,2018-12-11.8966399,bn,1.77,16.882,14.925,0.036,3.891,0.129,g
2458464.40046,2018-12-11.8979040,bn,1.78,16.877,14.902,0.035,3.974,0.129,g
2458464.40175,2018-12-11.8991890,bn,1.76,16.840,14.872,0.036,4.086,0.134,g
2458465.38877,2018-12-12.8863046,bn,1.55,99.990,99.990,99.990,99.990,99.990,g
2458465.38999,2018-12-12.8875182,bn,1.51,16.825,14.959,0.039,3.771,0.135,g
2458465.39120,2018-12-12.8887326,bn,1.51,16.908,14.887,0.034,4.027,0.126,g
2458465.64651,2018-12-13.1440651,bj,1.52,16.673,14.875,0.042,4.073,0.156,g
2458465.64772,2018-12-13.1452748,bj,1.57,16.501,14.925,0.051,3.893,0.183,g
2458465.64894,2018-12-13.1464916,bj,1.54,16.711,14.912,0.042,3.940,0.151,g
2458466.38587,2018-12-13.8835002,bn,1.55,16.716,14.849,0.039,4.173,0.150,g
2458466.38709,2018-12-13.8847068,bn,1.59,16.744,14.883,0.039,4.047,0.146,g
2458466.38829,2018-12-13.8859156,bn,1.57,16.714,14.881,0.040,4.050,0.150,g
2458472.38072,2018-12-19.8788981,bn,1.70,15.522,14.783,0.111,4.436,0.449,g
2458472.38192,2018-12-19.8801011,bn,1.55,15.610,14.720,0.097,4.697,0.414,g
2458472.38312,2018-12-19.8813038,bn,1.55,15.607,14.943,0.119,3.829,0.416,g
2458472.81377,2018-12-20.3119973,bB,1.99,16.291,15.122,0.075,3.247,0.221,g
2458472.81504,2018-12-20.3132641,bB,2.01,16.109,14.926,0.074,3.889,0.262,g
2458472.81632,2018-12-20.3145401,bB,2.02,16.129,14.892,0.070,4.009,0.257,g
2458473.36503,2018-12-20.8633130,bn,1.50,15.912,15.113,0.105,3.272,0.314,g
2458473.36625,2018-12-20.8645324,bn,1.55,15.680,14.903,0.107,3.972,0.388,g
2458473.81011,2018-12-21.3084328,bB,2.05,16.093,14.887,0.072,4.028,0.266,g
2458473.81139,2018-12-21.3097055,bB,2.06,16.084,14.906,0.074,3.961,0.268,g
2458473.81266,2018-12-21.3109703,bB,2.05,16.192,14.894,0.066,4.005,0.243,g
2458474.36680,2018-12-21.8651707,bn,1.55,15.681,14.874,0.104,4.078,0.388,g
2458474.36801,2018-12-21.8663804,bn,1.62,15.691,15.226,0.143,2.949,0.384,g
2458474.36921,2018-12-21.8675834,bn,1.58,15.679,14.722,0.091,4.692,0.389,g
2458474.81827,2018-12-22.3166917,bB,2.09,15.858,14.970,0.097,3.734,0.330,g
2458474.81955,2018-12-22.3179628,bB,2.11,15.887,14.962,0.094,3.760,0.321,g
2458474.82082,2018-12-22.3192385,bB,2.08,15.945,14.868,0.081,4.101,0.304,g
2458475.80308,2018-12-23.3015905,bB,2.19,15.917,14.868,0.083,4.100,0.312,g
2458475.80435,2018-12-23.3028626,bB,2.14,16.147,15.068,0.081,3.410,0.253,g
2458475.80563,2018-12-23.3041364,bB,2.14,15.967,14.835,0.077,4.224,0.298,g
2458476.81176,2018-12-24.3103673,bB,2.16,16.205,14.820,0.061,4.284,0.240,g
2458476.81303,2018-12-24.3116385,bB,2.12,16.171,14.986,0.074,3.679,0.247,g
2458476.81433,2018-12-24.3129421,bB,2.10,16.187,14.889,0.066,4.024,0.244,g
2458477.36098,2018-12-24.8596400,bn,1.53,16.246,14.881,0.062,4.055,0.231,g
2458477.36219,2018-12-24.86085,bn,1.54,16.109,14.973,0.077,3.724,0.262,g
2458477.36341,2018-12-24.8620653,bn,1.52,16.122,14.802,0.065,4.359,0.259,g
2458478.29769,2018-12-25.7964543,bn,1.64,16.807,14.865,0.037,4.109,0.138,g
2458478.71003,2018-12-26.2088319,br,1.52,16.087,15.171,0.094,3.101,0.267,g
2458478.71246,2018-12-26.2112524,br,1.53,16.130,14.851,0.067,4.164,0.257,g
2458480.30790,2018-12-27.8068489,bn,1.56,16.947,14.926,0.034,3.888,0.121,g
2458480.30918,2018-12-27.8081293,bn,1.59,16.889,14.941,0.036,3.833,0.128,g
2458480.31039,2018-12-27.8093380,bn,1.59,16.896,14.889,0.034,4.022,0.127,g
2458480.70704,2018-12-28.2060321,br,1.43,16.885,14.932,0.036,3.867,0.128,g
2458480.70825,2018-12-28.2072421,br,1.42,16.863,14.879,0.035,4.058,0.131,g
2458480.70946,2018-12-28.2084619,br,1.48,16.854,14.925,0.037,3.890,0.132,g
2458483.33721,2018-12-30.8364633,bn,1.51,16.903,15.004,0.038,3.616,0.126,g
2458483.33842,2018-12-30.8376700,bn,1.48,16.909,14.957,0.036,3.779,0.125,g
2458483.33964,2018-12-30.8388879,bn,1.47,16.853,14.893,0.036,4.006,0.132,g
2458484.67856,2019-01-01.1779435,br,1.55,99.990,99.990,99.990,99.990,99.990,g
2458484.67980,2019-01-01.1791837,br,1.60,99.990,99.990,99.990,99.990,99.990,g
2458484.68102,2019-01-01.1804137,br,1.53,16.824,14.849,0.035,4.173,0.136,g
2458485.33417,2019-01-01.8336125,bn,1.57,16.855,14.912,0.037,3.935,0.132,g
2458485.33538,2019-01-01.8348317,bn,1.59,16.878,15.008,0.039,3.605,0.129,g
2458485.33659,2019-01-01.8360379,bn,1.59,16.837,14.947,0.038,3.814,0.134,g
2458485.78683,2019-01-02.2863175,bB,2.08,17.098,14.919,0.029,3.914,0.106,g
2458485.78811,2019-01-02.2876018,bB,2.09,17.022,14.939,0.032,3.839,0.113,g
2458485.78938,2019-01-02.2888763,bB,2.07,17.079,14.920,0.030,3.908,0.107,g
2458487.32298,2019-01-03.822625,bn,1.50,16.862,14.856,0.034,4.145,0.131,g
2458487.32418,2019-01-03.8238275,bn,1.53,16.799,14.933,0.039,3.860,0.139,g
2458487.32538,2019-01-03.8250314,bn,1.52,16.818,14.908,0.038,3.951,0.137,g
2458489.77201,2019-01-06.2719012,bB,2.02,17.031,14.935,0.032,3.855,0.112,g
2458489.77327,2019-01-06.2731586,bB,2.02,17.039,14.918,0.031,3.914,0.111,g
2458489.77453,2019-01-06.2744228,bB,2.02,17.066,14.912,0.030,3.934,0.109,g
2458490.76774,2019-01-07.2677359,bB,2.10,17.154,14.913,0.028,3.934,0.100,g
2458490.76901,2019-01-07.2689975,bB,2.11,17.068,14.912,0.030,3.935,0.108,g
2458490.77027,2019-01-07.2702621,bB,2.09,17.055,14.909,0.030,3.948,0.110,g
2458491.67224,2019-01-08.1723269,br,1.43,99.990,99.990,99.990,99.990,99.990,g
2458491.67344,2019-01-08.1735344,br,1.43,16.768,14.895,0.039,3.998,0.143,g
2458491.67470,2019-01-08.1747841,br,1.41,16.961,14.943,0.034,3.826,0.119,g
2458492.31802,2019-01-08.8181680,bn,1.61,16.702,14.847,0.040,4.182,0.152,g
