HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458129.73893,2018-01-11.2393479,bb,1.69,16.239,14.443,0.042,6.409,0.245,V
2458129.74020,2018-01-11.2406196,bb,1.70,16.122,14.467,0.048,6.264,0.273,V
2458129.74147,2018-01-11.2418875,bb,1.84,16.164,14.474,0.046,6.228,0.263,V
2458130.30959,2018-01-11.8100673,bn,2.13,16.781,14.986,0.042,3.680,0.141,g
2458130.31081,2018-01-11.8112836,bn,2.05,16.739,14.866,0.039,4.110,0.147,g
2458130.31202,2018-01-11.8124980,bn,2.06,16.834,14.944,0.038,3.824,0.135,g
2458130.73713,2018-01-12.2376491,ba,1.65,16.430,14.518,0.038,5.983,0.206,V
2458130.73840,2018-01-12.2389136,ba,1.67,16.488,14.449,0.033,6.371,0.195,V
2458130.73967,2018-01-12.2401929,ba,1.68,16.467,14.492,0.035,6.124,0.199,V
2458131.76849,2018-01-13.2691177,bb,1.73,16.285,14.454,0.040,6.343,0.235,V
2458131.76976,2018-01-13.2703795,bb,1.74,16.346,14.486,0.039,6.157,0.223,V
2458131.77105,2018-01-13.2716693,bb,1.69,16.385,14.473,0.038,6.233,0.215,V
2458132.29898,2018-01-13.7996575,bn,1.53,16.874,15.024,0.040,3.551,0.130,g
2458132.30019,2018-01-13.8008667,bn,1.53,16.863,14.855,0.034,4.150,0.131,g
2458132.30141,2018-01-13.8020865,bn,1.54,16.948,14.951,0.035,3.801,0.121,g
2458134.54497,2018-01-16.0458700,bf,1.40,16.093,14.511,0.051,6.018,0.281,V
2458134.54625,2018-01-16.0471490,bf,1.39,16.176,14.575,0.050,5.670,0.260,V
2458134.54753,2018-01-16.0484315,bf,1.37,16.054,14.420,0.049,6.549,0.291,V
2458135.29066,2018-01-16.7916283,bn,2.30,16.482,14.855,0.049,4.152,0.186,g
2458135.29188,2018-01-16.7928471,bn,2.29,16.563,14.928,0.049,3.880,0.173,g
2458135.29309,2018-01-16.7940657,bn,2.28,16.622,14.906,0.045,3.961,0.164,g
2458135.54082,2018-01-17.0418157,bf,1.42,15.963,14.502,0.057,6.073,0.317,V
2458135.54209,2018-01-17.0430797,bf,1.44,16.034,14.516,0.054,5.992,0.296,V
2458135.54335,2018-01-17.0443452,bf,1.43,16.137,14.416,0.045,6.570,0.270,V
2458136.28651,2018-01-17.7875842,bn,1.95,99.990,99.990,99.990,99.990,99.990,g
2458136.28773,2018-01-17.7887980,bn,1.87,14.207,99.990,99.990,6.577,1.511,g
2458136.28895,2018-01-17.7900155,bn,1.61,14.380,99.990,99.990,5.124,1.289,g
2458136.54046,2018-01-18.0415585,bf,1.39,16.029,14.585,0.058,5.622,0.298,V
2458136.54174,2018-01-18.0428324,bf,1.51,16.143,14.473,0.047,6.231,0.268,V
2458136.54300,2018-01-18.0440987,bf,1.51,15.978,14.514,0.057,6.004,0.312,V
2458137.53622,2018-01-19.0374186,bf,1.51,15.928,14.417,0.054,6.560,0.327,V
2458137.53749,2018-01-19.0386892,bf,1.51,16.038,14.619,0.059,5.449,0.295,V
2458137.53877,2018-01-19.0399684,bf,1.52,15.895,14.468,0.059,6.266,0.337,V
2458138.27836,2018-01-19.7796193,bn,1.84,15.674,14.935,0.111,3.857,0.390,g
2458138.27957,2018-01-19.7808406,bn,1.80,15.857,14.792,0.082,4.396,0.330,g
2458138.28082,2018-01-19.7820792,bn,1.80,15.831,14.679,0.076,4.878,0.338,g
2458138.53201,2018-01-20.0333084,bf,1.51,15.723,14.430,0.067,6.488,0.395,V
2458138.53329,2018-01-20.0345803,bf,1.42,15.672,14.427,0.070,6.503,0.414,V
2458138.53455,2018-01-20.0358465,bf,1.47,15.856,14.454,0.060,6.338,0.349,V
2458139.53160,2018-01-21.0329952,bf,1.62,15.704,14.514,0.073,6.002,0.402,V
2458139.53287,2018-01-21.0342574,bf,1.47,15.743,14.576,0.075,5.665,0.387,V
2458139.53413,2018-01-21.0355199,bf,1.41,15.774,14.484,0.067,6.170,0.376,V
2458161.56342,2018-02-12.0667960,br,1.53,16.061,15.076,0.088,3.386,0.274,g
2458161.56463,2018-02-12.0680085,br,1.53,16.207,14.981,0.071,3.692,0.239,g
2458161.56585,2018-02-12.0692240,br,1.57,16.419,14.947,0.056,3.812,0.197,g
2458163.56184,2018-02-14.0653785,br,1.77,15.905,14.748,0.076,4.579,0.316,g
2458163.56306,2018-02-14.0665952,br,1.64,15.951,14.937,0.086,3.848,0.303,g
2458227.82028,2018-04-19.3259062,bj,1.64,99.990,99.990,99.990,99.990,99.990,g
2458230.71470,2018-04-22.2202672,be,1.59,99.990,99.990,99.990,99.990,99.990,V
2458230.71566,2018-04-22.2212274,bj,1.56,99.990,99.990,99.990,99.990,99.990,g
