# BJD-2454833, Flux, Error
2.561459098003891995e+03 9.971220040712014399e-01 1.003514998511492024e-04
2.561479530229720694e+03 9.974478779894856428e-01 1.003514998511492024e-04
2.561499962454625347e+03 9.972428176743242112e-01 1.003514998511492024e-04
2.561520394678598677e+03 9.971287084938342815e-01 1.003514998511492024e-04
2.561540827002565493e+03 9.975007907602617685e-01 1.003514998511492024e-04
2.561561259125606739e+03 9.963050090238831924e-01 1.003514998511492024e-04
2.561581691348183085e+03 9.978253541001832483e-01 1.003514998511492024e-04
2.561602123670287256e+03 9.973153543610799865e-01 1.003514998511492024e-04
2.561622555791931518e+03 9.977587941727904530e-01 1.003514998511492024e-04
2.561642988013110880e+03 9.972784158817898925e-01 1.003514998511492024e-04
2.561663420333352406e+03 9.964367805482183815e-01 1.003514998511492024e-04
2.561683852453134023e+03 9.974729817140080002e-01 1.003514998511492024e-04
2.561704284672450740e+03 9.975528637447155234e-01 1.003514998511492024e-04
2.561724716991295281e+03 9.974589889840559387e-01 1.003514998511492024e-04
2.561745149109679915e+03 9.971069965919693301e-01 1.003514998511492024e-04
2.561765581427134748e+03 9.972361507078760789e-01 1.003514998511492024e-04
2.561786013644115883e+03 9.976663345723616461e-01 1.003514998511492024e-04
2.561806445760637871e+03 9.970307816160879355e-01 1.003514998511492024e-04
2.561826878076695721e+03 9.957871840371450567e-01 1.003514998511492024e-04
2.561847310292279872e+03 1.002448009903699866e+00 1.003514998511492024e-04
2.561867742506939976e+03 9.967844578975721959e-01 1.003514998511492024e-04
2.561888174721134419e+03 9.969225076323566803e-01 1.003514998511492024e-04
2.561908606934855925e+03 9.979372600007193617e-01 1.003514998511492024e-04
2.561929039048118284e+03 9.970664612794577497e-01 1.003514998511492024e-04
2.561949471360916505e+03 9.970834749370507399e-01 1.003514998511492024e-04
2.561969903572775365e+03 9.987901256956981388e-01 1.003514998511492024e-04
2.561990335684640741e+03 9.975073764470868687e-01 1.003514998511492024e-04
2.562010767995576316e+03 9.972170978074101910e-01 1.003514998511492024e-04
2.562031200206038193e+03 9.973432444535106356e-01 1.003514998511492024e-04
2.562051632315575262e+03 9.976764867222648325e-01 1.003514998511492024e-04
2.562072064625113853e+03 9.982644948958829811e-01 1.003514998511492024e-04
2.562092496833713085e+03 9.980768292408979114e-01 1.003514998511492024e-04
2.562112928941853170e+03 9.973982574596118589e-01 1.003514998511492024e-04
2.562133361249529116e+03 9.979641702208352783e-01 1.003514998511492024e-04
2.562153793456731364e+03 9.976573659101886093e-01 1.003514998511492024e-04
2.562174225563474465e+03 9.968261854515073628e-01 1.003514998511492024e-04
2.562194657869287767e+03 9.974089611289026491e-01 1.003514998511492024e-04
2.562215090074627369e+03 9.984085330277774339e-01 1.003514998511492024e-04
2.562235522279508587e+03 9.978719892449142703e-01 1.003514998511492024e-04
2.562255954483924143e+03 9.980634112149946446e-01 1.003514998511492024e-04
2.562276386687866761e+03 9.974087609866576498e-01 1.003514998511492024e-04
2.562296818890885334e+03 9.976623076281990743e-01 1.003514998511492024e-04
2.562317251093903906e+03 9.980703099663937872e-01 1.003514998511492024e-04
2.562337683295983879e+03 9.979287626637155517e-01 1.003514998511492024e-04
2.562358115497605468e+03 9.982937730161620671e-01 1.003514998511492024e-04
2.562378547798289219e+03 9.987501341317447379e-01 1.003514998511492024e-04
2.562398979898978723e+03 9.973937220279719407e-01 1.003514998511492024e-04
2.562419412098737666e+03 9.975449804359741712e-01 1.003514998511492024e-04
2.562439844398031710e+03 9.978531704602389141e-01 1.003514998511492024e-04
2.562460276496851293e+03 9.969742918295573242e-01 1.003514998511492024e-04
2.562480708795214014e+03 9.960434449038041427e-01 1.003514998511492024e-04
2.562501140993103036e+03 9.984997750773250136e-01 1.003514998511492024e-04
2.562521573090067250e+03 9.977644636623602681e-01 1.003514998511492024e-04
2.562542005387032987e+03 9.969397717127115310e-01 1.003514998511492024e-04
2.562562437583066639e+03 9.967148743177786097e-01 1.003514998511492024e-04
2.562582869678626594e+03 9.968759609013166934e-01 1.003514998511492024e-04
2.562603301973264024e+03 9.973796802714532950e-01 1.003514998511492024e-04
2.562623734167893417e+03 9.975015035510065298e-01 1.003514998511492024e-04
2.562644166261598002e+03 9.972262936581989257e-01 1.003514998511492024e-04
2.562664598555304110e+03 9.962805785374320156e-01 1.003514998511492024e-04
2.562685030648077372e+03 9.977061861823603994e-01 1.003514998511492024e-04
2.562705462839912798e+03 9.961500022070515215e-01 1.003514998511492024e-04
2.562725895131756261e+03 9.957099019352771974e-01 1.003514998511492024e-04
2.562746327323126025e+03 9.968326795055709733e-01 1.003514998511492024e-04
2.562766759413570981e+03 9.962989028841316985e-01 1.003514998511492024e-04
2.562787191703551798e+03 9.956814459179587073e-01 1.003514998511492024e-04
2.562807623893066193e+03 9.974242883091556378e-01 1.003514998511492024e-04
2.562828055982106889e+03 9.969627356753568703e-01 1.003514998511492024e-04
2.562848488270225062e+03 9.956079094060652501e-01 1.003514998511492024e-04
2.562868920458335197e+03 9.960944325805176636e-01 1.003514998511492024e-04
2.562889352545520524e+03 9.953838536115705571e-01 1.003514998511492024e-04
2.562909784832241712e+03 9.969350219716974770e-01 1.003514998511492024e-04
2.562930217018496478e+03 5.004492901433958973e-01 1.003514998511492024e-04
2.562950649104277545e+03 9.962193347209974403e-01 1.003514998511492024e-04
2.562971081389136089e+03 9.960419677943496142e-01 1.003514998511492024e-04
2.562991513573986595e+03 9.965081023955750794e-01 1.003514998511492024e-04
2.563011945657912293e+03 9.958591397757691199e-01 1.003514998511492024e-04
2.563032377941373852e+03 9.950040335477189357e-01 1.003514998511492024e-04
2.563052810124368989e+03 9.949409475576241890e-01 1.003514998511492024e-04
2.563073242306891188e+03 9.961472846521587377e-01 1.003514998511492024e-04
2.563093674488489341e+03 9.955639441048312888e-01 1.003514998511492024e-04
2.563114106670080218e+03 9.951840626856941485e-01 1.003514998511492024e-04
2.563134538850747049e+03 9.962358415009640034e-01 1.003514998511492024e-04
2.563154971030948218e+03 9.954857826115870445e-01 1.003514998511492024e-04
2.563175403210683726e+03 9.963033316433859143e-01 1.003514998511492024e-04
2.563195835489481397e+03 9.962891074025274074e-01 1.003514998511492024e-04
