# BJD-2454833, Flux, Error
2.560600943929006462e+03 9.986011109558633470e-01 1.003514998511482266e-04
2.560621376178125502e+03 9.982543020452566696e-01 1.003514998511482266e-04
2.560641808326770843e+03 9.991261705984821884e-01 1.003514998511482266e-04
2.560662240674493660e+03 9.977670780553413721e-01 1.003514998511482266e-04
2.560743969660717994e+03 9.988549234265589050e-01 1.003514998511482266e-04
2.560764402005639568e+03 9.980699022189444269e-01 1.003514998511482266e-04
2.560784834150101233e+03 9.977133878929654864e-01 1.003514998511482266e-04
2.560805266394097998e+03 9.984844758714569446e-01 1.003514998511482266e-04
2.560825698737622588e+03 9.979756592113337987e-01 1.003514998511482266e-04
2.560846130880687269e+03 9.974604093639377611e-01 1.003514998511482266e-04
2.560866563122821390e+03 9.989594229143875515e-01 1.003514998511482266e-04
2.560886995464483334e+03 9.977923124162080271e-01 1.003514998511482266e-04
2.560907427605685371e+03 9.983936313780897853e-01 1.003514998511482266e-04
2.560927859845956846e+03 9.973090292557544867e-01 1.003514998511482266e-04
2.560948292186221806e+03 9.977161826480912543e-01 1.003514998511482266e-04
2.561009588902838004e+03 9.979411534089357438e-01 1.003514998511482266e-04
2.561030021140781173e+03 9.988127946293828829e-01 1.003514998511482266e-04
2.561050453277792258e+03 9.976764952499983519e-01 1.003514998511482266e-04
2.561070885614331928e+03 9.972601001604912696e-01 1.003514998511482266e-04
2.561091317850412452e+03 9.969943119742258331e-01 1.003514998511482266e-04
2.561111749986026553e+03 9.976731189351236706e-01 1.003514998511482266e-04
2.561132182321169239e+03 9.975693111451202633e-01 1.003514998511482266e-04
2.561152614455386356e+03 9.969915413248766622e-01 1.003514998511482266e-04
2.561173046789132059e+03 9.974157585718951280e-01 1.003514998511482266e-04
2.561193479022418614e+03 9.984388271201501963e-01 1.003514998511482266e-04
2.561234343487594742e+03 9.981318669136640676e-01 1.003514998511482266e-04
2.561254775719011377e+03 9.972854150567806997e-01 1.003514998511482266e-04
2.561275207849968865e+03 9.983540634404444170e-01 1.003514998511482266e-04
2.561295640180454939e+03 9.973886190046136191e-01 1.003514998511482266e-04
2.561316072410481866e+03 9.970902324672484829e-01 1.003514998511482266e-04
2.561336504539576708e+03 9.975308556392492587e-01 1.003514998511482266e-04
2.561356936868673074e+03 9.967649914036855741e-01 1.003514998511482266e-04
2.561377369096830080e+03 9.970190393355899960e-01 1.003514998511482266e-04
2.561397801324528700e+03 9.975339313637470173e-01 1.003514998511482266e-04
2.561418233551754383e+03 9.985485240405373997e-01 1.003514998511482266e-04
2.561438665778056020e+03 9.973153557802940661e-01 1.003514998511482266e-04
2.561479530229720694e+03 9.973903793442796539e-01 1.003514998511482266e-04
2.561499962454625347e+03 9.971853308499768476e-01 1.003514998511482266e-04
2.561520394678598677e+03 9.970712282473978005e-01 1.003514998511482266e-04
2.561540827002565493e+03 9.974432890648585737e-01 1.003514998511482266e-04
2.561561259125606739e+03 9.962475762602321927e-01 1.003514998511482266e-04
2.561581691348183085e+03 9.977678336950783766e-01 1.003514998511482266e-04
2.561602123670287256e+03 9.972578633552997562e-01 1.003514998511482266e-04
2.561622555791931518e+03 9.977012776045833808e-01 1.003514998511482266e-04
2.561642988013110880e+03 9.972209270053565833e-01 1.003514998511482266e-04
2.561663420333352406e+03 9.963793401884971646e-01 1.003514998511482266e-04
2.561683852453134023e+03 9.974154816216785902e-01 1.003514998511482266e-04
2.561724716991295281e+03 9.974014896983481870e-01 1.003514998511482266e-04
2.561745149109679915e+03 9.970495175971320068e-01 1.003514998511482266e-04
2.561765581427134748e+03 9.971786642678510670e-01 1.003514998511482266e-04
2.561786013644115883e+03 9.976088233340589806e-01 1.003514998511482266e-04
2.561806445760637871e+03 9.969733070147210885e-01 1.003514998511482266e-04
2.561826878076695721e+03 9.957297811239110841e-01 1.003514998511482266e-04
2.561867742506939976e+03 9.967269974957243539e-01 1.003514998511482266e-04
2.561888174721134419e+03 9.968650392725264542e-01 1.003514998511482266e-04
2.561908606934855925e+03 9.978797331447132324e-01 1.003514998511482266e-04
2.561969903572775365e+03 9.987325496755973253e-01 1.003514998511482266e-04
2.561990335684640741e+03 9.974498743720467964e-01 1.003514998511482266e-04
2.562010767995576316e+03 9.971596124657041704e-01 1.003514998511482266e-04
2.562031200206038193e+03 9.972857518399848020e-01 1.003514998511482266e-04
2.562051632315575262e+03 9.976189748987337458e-01 1.003514998511482266e-04
2.562072064625113853e+03 9.982069491761713653e-01 1.003514998511482266e-04
2.562092496833713085e+03 9.980192943393164651e-01 1.003514998511482266e-04
2.562112928941853170e+03 9.973407616748192206e-01 1.003514998511482266e-04
2.562133361249529116e+03 9.979066418135690286e-01 1.003514998511482266e-04
2.562153793456731364e+03 9.975998551888913823e-01 1.003514998511482266e-04
